Rating,Title,Date,Verified Purchase,Body,Helpful Votes
5.0,A mostly positive and detailed review.,"August 6, 2017",1,"BEWARE!.99% of the negative reviews are SELLER REVIEWS! People bought used products or from a private seller and got something not covered by amazon. BUY NEW, FROM AMAZON. If you don't know how to shop, I suggest you double check where the item is coming from in your cart and before you check out. PAY ATTENTION!..After owning the phone long enough to be familiar with it, I thought I would leave a decent review outlining some of the pro's and con's, as well as some neutral's. My review is as follows: (see end comments about unlocked and verizon use - this phone is 100% unlocked!)..Pro's:.1. Very sleek design. Very nice screen and overall a great phone..2. The camera/video recorder is AMAZING. Simple as that. I took amazing outdoor and indoor (even in low light/no light) pictures. I am genuinely impressed and was not expecting it to be so good. (See last pic. Photo on phone was taken by s8).3. The pixel ratio/screen size. I got the s8 because I did not want a huge computer in my pocket, and it has plenty of room in it..4. Very fast. The processor even with battery settings set to a mid level (which can be changed to your personal preference) is still fast enough to do anything you can throw at it..5. RAM and Storage ration. Perfect. Plenty of ram to handle multi-tasking and plenty of storage to handle those 4k videos/pictures PLUS room to expand with SD storage, which is also getting much better and bigger. But 64GB entry level... eat your heart out apple..6. Great speaker! I mean wow... this thing get's loud. I was also not expecting such great sound. You will have no trouble hearing anything even in a loud environment. Seriously amazed here..7. Power saving/Battery life. Simply put, the AMOLED allows for some amazing battery life and the 3000mah batter holds up well. Very well. Much better than the iPhone..8. Fast charging. The lowest I have had the battery is about 60% and it charged in under an hour..9. AMOLED screen. As stated in #7, it helps with battery life but other than that, it has plenty of brightness and picture clarity. I also carified in #3 that the screen size and pixel ratio were simply stunning. You will notice this if you game alot or during those 4k picture zooms and probably much more on the s8+..10. Accessories and headphone jack. It has a headphone jack! lol. The accessories that came with the phone are great. A fast charging cable, a type-c to mini usb extension, and a usb to type-c extension as well. The headphones are simply amazing too. By far some of the best I have owned, as far as ear buds go, and you don't have to pay for good quality here. The material of them is great and they come with extra different size earbuds..11. Water resistance. While I have not tested it, and probably never will, it's a great feature. I still don't recommend dunking your phone..12. Pocket settings. There is an option to keep the screen off while in your pocket, or something like a purse. Simple as that. If you butt dial, you probably are not navigating the settings well enough. Keep in mind, android has A LOT of settings, and it would be wise to go through them all including the basic options that samsung offers..13. Widget size. You can actually adjust the size of every single widget, and fit more apps on the pages as well as the default home row. You can also change the lock screen apps, if you want any at all. I personally have a camera and the phone app on the lock screen, and keep all my apps on a single page, in folders, the weather, a google search bar with the mic button, and lastly a control panel for quick access to bluetooth and auto-sync buttons etc etc.. All on one page, with plenty of empty space. Half the screen is even still empty. Thank you so much for resizeable widgets...Neutral:.1. Bixby button. The button is below the volume buttons, so nothing you can do there. However, you can disable bixby. Most reviews on here are failing to realize this and also failing to outline how. See the end of my review for simple instructions..2. Phone Length. I'll admit, it's pretty long. Maybe I am just to used to an older, smaller phone, but one handed operations is going to take some getting used to. Be mindful of the edges of the screen too. Too much palm and you will be scrolling. I do not see this as a negative still, just takes some getting used to and as outlined in the pro's section, the overall screen size is perfect..3. Edge lighting. A bit torn on this one. It seems cool, but is pretty much useless. It's basically a notification before the notification. So you would have to tap twice and then unlock as well. IMHO, it does look really cool, but SAMSUNG needs to give us more control over it..4. Always on display. This can also be turned off. I find it 100% useless, but not a negative by any means. I feel it can definitely cater to some users who enjoy always being able to look at their phone. I personally disabled it and honestly looked no further into it..5. Color settings. I have always disliked samsung's default colors. Especially on TV's. However, there is an option to change them to your liking. I chose the basic setting, but there is even an option to change balance which let's you arrange a set of liked color boxes, whites, and blacks to your liking and all kinds of other options for personal preference. It really is a great setting, however, it is a neutral and not a pro simply because they enable a very rich color by default. So I recommend changing this to suite your own eyeballs..6. The lock screen clock/theme settings. In order to change the lock screen clock, you have to register with samsung themes and install a theme, which can be somewhat custom. I did this, and the deactivated my account. The setting were retained and all is well. Still a neutral because I feel samsung should incorporate a way to change the lock screen clock by default to a couple preset clocks. The standard one IMHO, is ugly and not aesthetically pleasing to read...Con's:.1. Typical android settings. Everything is always on. This is not a samsung issue, but android. I recommend going through every single option, and every single app to change every single setting. Sometimes, this can take the first week of owning an android phone to get right. This also almost always has a HUGE impact on battery life. There are settings in sub-menu's of settings. So please, NAVIGATE YOUR ANDROID SETTINGS! Your poor battery life is not due to this phone at all. It is due to negligence and laziness..2. ""Ok Google"". This seems to always be on, even when turned off in googles settings. I have a search bar and I have turned off all settings both in the phone and google, but for some reason if you say those two naughty words, it still comes up. However, if you do not set it up, it will only be asking you to set it up. Same thing as bixby almost, but this is a negative because I do not want my mic on. At all. I think samsung needs to address this before anything else, even the bixby issues some people are not liking or failing to change..3. All glass. The phone is not strong by any means. It does not feel like a cheap POS, but it is all glass. This belongs in the negative because most of us are drop prone, and even if you are not, it is very easy to make a mistake. Overall, it looks amazing, but there is no need for a glass backing too. I highly recommend you get a case, and if you are in fact drop prone, get a big durable case like an otterbox with a screen protector. The risk will always be there with all smart phones, but the s8 being all glass just seems pointless. That said, I have NEVER dropped a phone to a point where it broke (fingers crossed, knock on wood)..4. The finger print scanner. What a stupid placement for a finger print scanner. Right next to the camera lense? come on... I personally do not use it at all, but if I did and wanted to take a picture, you would be cleaning your lense as soon as you unlocked it. Nobody wants to take an unclear photo because they used the finger print security feature. I like the Google Plus one, but feel that if any, Apple has the best one being in the home button...On a side note: THIS PHONE IS UNLOCKED. It can be used with ANY carrier. If you do not pay attention to who or where you buy it from, at least leave a sellers review instead of a product review. 99% of the negative reviews are this. Please pay attention and buy a new phone from Amazon only. I do not ever recommend getting a refurb on this kind of product, or buying from a private seller regardless of their rating. You just never know...As for Bixby, all you have to do is not set it up and hold the home screen like you are adding a widget, scroll to the left and hit the button to turn it off. This will not remove it, but will stop it from doind whatever crazy stuff these other reviews are talking about. I have had NO ISSUES with bixby, because I turned it off. Also, make sure you go through your settings, including the subsettings imbedded into android like background data usage etc etc and turn it all off. People having battery issues, I guarantee it is not the s8's fault. It is android and you would not get any better life with iOS for failing to go through your settings. GO THROUGH YOUR SETTINGS! every. single. one. Over and over for a week until you find every nook and cranny. There is a lot!..Overall, this phone is amazing. The list of pro's, con's, and neutral's are simply my take and my opinion. I do recommend the phone. At least if you are in a position to think about it and can try it, go to a local store and pick one up on the display to play with it, but it's just not the same as owning it. I was torn between a google pixel xl and this one, but when this dropped in price it made my decision that much easier. I did like the idea of a bigger phone, however, I just kept thinking how big it would be in my pocket. So I went with the standard s8 and I am very happy I did. I do a lot of fishing, hiking, and outdoor stuff and 90% of the time, I TRY to keep my phone around me in my pocket in case of an emergency. Usually off, because where I go there is no signal anyways...Any review stating a mostly negative opinion, in my opinion, is probably a bit trollish or did not do any research and made an impulse buy. I think you can get used to this phone and if you are complaining about the things I have outlined here, the only one to blame is you. So give it a try, navigate ALL the settings, get used to android, and don't drop this phone lol! Thank you for reading.","1,623"
5.0,So far the best phone I ever had,"August 29, 2017",1,"<div class=""a-section a-spacing-small a-spacing-top-mini video-block"" id=""video-block-R2WZC5YWPVPEWB""></div><input class=""video-url"" name="""" type=""hidden"" value=""https://images-na.ssl-images-amazon.com/images/I/D1zegBnFbbS.mp4""/><input class=""video-slate-img-url"" name="""" type=""hidden"" value=""https://images-na.ssl-images-amazon.com/images/I/91TjXuWgH5S.png""/> So far the best phone I ever had. Man it's beautiful. Sleek design and powerful hardware. I did a comparison with my old phone and you certainly can feel that it's more powerful. I'm not used to it yet. But it does everything perfectly. The picture quality is superb. I love shooting video and it nails it in video quality and it does slow motion!! say whaaaat!! But sometimes it overheats under the direct sun when I record video but I think that is normal. I don't use the fingerprint sensor only because I can't find it. And the mono speaker under the phone is a downside which most of the time I cover it with my little finger and it's kinda annoying. Other than that it's freaking fast and top notch phone. I don't regret buying it ..Make sure to check out the video and pictures and if my review was helpful please press YES for helpful. Thank you.",234
5.0,"Great phone, activate yourself","August 28, 2017",1,"I was skeptical about buying this phone off Amazon instead of Verizon because the reviews were half good, half bad as far as activating it on the Verizon network.  My advice is dont go to the store and activate yourself on their website.  It takes just 5-10 minutes.  Just make sure to have a Verizon nano SIM card, I was able to use the one from my iphone 6.  Transfer your contacts, music etc on their app as well, it's very easy.  Other than that the actual phone is great.  Very sleek looking phone.  This phone is $756 at Verizon and they try to sell their payment plan to you but I would much rather pay the cheaper Amazon price and keep my phone bill lower.  If you're on the fence like I was I hope this review can help you out.",94
3.0,"Gorgeous hardware, same old Sammy.","August 1, 2017",1,"This phone should be a no-brainer. Easily the most stunning display ever on a phone, great specs, Samsung Pay, expandable storage, and waterproofing SHOULD make this the best phone on the market. Enter Samsung's software. While Touchwiz isn't nearly the raging dumpster fire it was back in the S4 and S5 days, there's still a lot of extras that most will consider junk. Chief among these is Bixby. Have you ever wondered what Siri would be like if it were dumber and had a dedicated hardware button? That's Bixby. Not content to let Google do the heavy lifting, Samsung's MO continues to be creating inferior versions of services already offered by Big G. Want to remap that button to something actually useful? Too bad. Samsung keeps patching the phone in order to force their bloatware down your throat. As it is, that's a dead button that you'll press once out of curiosity, and a few dozen times while trying to turn down the volume. One other annoyance of note is the horrible placement of the fingerprint scanner. There's just no excuse for this one...Overall, it's a great phone that's held back by Samsung's usual goofball decisions...",172
4.0,"As of this Review, this is the best phone on the Market","August 18, 2017",1,"I haven't owned a Galaxy phone since the Galaxy Nexus..I've always felt that Samsung's Touch Wiz UI was too gimmicky and looked cartoon-ish...This is my 5th phone in the last 6 months. I was coming from a Nexus 6P, One Plus 3T, Axon 7 and LG V20..I really liked the LG V20 for it's cameras and the Axon 7 for it's front facing speakers. The 6P and One Plus 3T.were so smooth. But I decided to trade it all in for the S8...I was initially going to get a Google Pixel, but prices were still high and besides the camera, not much appealed to me..The S8 is a damn sexy phone with over 80% of the front being the screen. I like the size. Fits perfectly in my hands..I don't think I will go back to a 6"" phablet phone. The screen is vibrant. The clear flip cover case works well with it too...Touch Wiz has been toned down from what I remember, but there is still a lot of bloatware, which I quickly disabled..I guess I like all the screen shot options this phone has to offer. You take screen shot many ways, annotate, make gifs, etc...Charging is pretty fast and the battery lasts me all day. The included headphones are really good. Can't go wrong with AKG. They look cheap, but they sound superb. I'm using Face Unlock, it's really fast. I have my finger print set up too, but face unlock is faster and more convenient. I guess someone can always hold up a picture right? (Haven't tried it yet) The finger print sensor takes a little bit to get used to. My finger naturally goes to the where the camera is located and you need to fully press on the sensor to get it to unlock..They should move the camera to the corner like some phones...USB-C is awesome..Bluethooth 5 is Awesome. You can now stream to 2 separate bluetooth speakers at the same time (one will have a slight delay though)...I have a few gripes..Even though it has a F1.7 aperture the camera is not wide angle. It does take really good pictures and videos..My other gripe is the single speaker. C'mon... it's 2017.... all Flagship phones should have stereo speakers..Get rid of Bixby. Let us just use Google Assist...By default the phone display is set to 2220X1080, which is fine for me. You can always set it to WQHD (2960X1440). I'm not sure how much more battery the phone will be using if you did. I still like that Samsung lets you put a SD card it it and it comes with a OTG adapter so you can plug in other USB sticks too. The Edge panel is just ok. Still getting used to it. I can live without it...This phone has tons of other features too, but I'm not going to list them all. Overall, it's the best smart phone I've ever owned. Hopefully it holds up well over the next 2 years..",44
5.0,"It Is a Nice Phone,  a Glorified S7 In a Good Way","October 8, 2017",1,"1.- I bought the ""Phone Only"", this Amazon description makes it look or sound like you are buying a phone on a plastic bag or something,  but it comes in a nice box, with AWG (?) headphones, a pair of extra ear plugs, wall charger with USB cable, a USB adapter and a tool to pop up the phones SD/SIM card comparment...2.- A regular USB micro cable will not fit, but it comes with an adapter...It feels really good in my hand, I bought a Zizo Bolt case that comes with a glass protector.(see pics)..More to come later , but I'm a Samsung guy, so I know what to expect, but I'll post an update once i get to use it a little bit more..",30
1.0,Really bad service from Samsung. Front camera was defective.,"October 15, 2017",1,"Really bad service from Samsung. The phone came with a defect in the front camera. I called them and they told me it will be fixed when the phone updates to the new version. I was back and forward with Samsung since I notice the issue. I noted first when I made my first skype meeting call. Then when my colleges told me about the issue, I started taking selfies, I notice that all the selfies have the same black spot in the same place. Unfortunately, I figured out the issue 36 days after I bout this phone from Amazon. So, I  could not return the phone due to the 30 days return policy..I contacted Samsung, they asked me to update and reset the phone and so a bunch of staff to the camera app. After the 2nd call, They sent me to a Repair Center close to my home. The repair center wanted to charge me $109 dollars. I called Samsung again. This time Samsung told me that because I was under warranty they can fix it for me. They cannot replace phones but just fix them. Samsung told me that they will take 11 days to fix it. I expressed my concern that I bought an expensive phone because the service as my work and my business depend on a reliable phone. I told them that I cannot afford 11 days without communication. So, they told me ""Well you won't be without communication you can buy a ship phone and exchange the sim card until your phone cames back""..So, does not Samsung understand that an unlock cheap phone cost at minimum 120 and it won't be able to multitask as fast I need to do my job and maintain my business?..I do not recommend to buy this phone or any Samsung phone if service and reliability is the most important subject for your purchase..",68
5.0,One of the best phones out there.,"November 14, 2017",1,"This phone is dope, it looks cool and it feels cool. Some people dont like where the finger print scanner is located but I dont really mind, I got used to it in a day but thats just me. This is one of the best phones I've had, its really fast and you can customize everything!..One thing I would like to point out, wich I havent seen any other reviewer talk about, is that when I put my SIM card inside the S8 it dint activate my LTE service, so this is what I did, grab another phone that has a SIM card from your same carrier and copy that phones VPN setting to your S8, it worked for me...Id recomend buying a case if you are prone to droping phones like am, but I have a friend that has had her S8+ for 5 months without a case and has not droped it once, but i wouldnt take that chance...Edit: I added some pictures of what I did with the VPN, you just have to manually copy the information from another cell phone to your S8, hope this helps..Ps.My friend dropped her phone a few days ago lol, buy a case..",7
5.0,Plain and Simple review.,"November 21, 2017",1,"Im not going to get into huge detail here, but I love this phone...The Camera is amazing.The screen is amazing.The fingerprint scanner works better than everyone says it does..I have taken this phone in the shower with me multiple times. 0 problems..it played music underwater (not recommended) with 0 problems..It does take a little getting used to, but the longer I have it, the more I love it..Honestly I can't think of one thing I don't like.except that I wish the bixby button was programmable...And I would recommend the otterbox Defender series case. Ive had it for weeks and it has been incredible..",7
4.0,Works great with Verizon!,"September 2, 2017",1,"The good: I'm really glad that I got this over spending more for a Verizon phone. There's less garbage on it from the carrier (and the few things that it tried to install when I inserted the SIM card were able to be uninstalled). The battery life is pretty crazy. Even without the power saver mode turned on, it lasts all day. Switch on power saver mode and it won't use hardly any power unless the screen is turned on. The curved screen doesn't cause issues with the touch screen while using it one-handed, and is positively gorgeous. People actually ask me what phone I have. The camera is super fast and takes amazing pictures...The bad: Bixby is not what it's cracked up to be in my opinion. Sure it can do some cool stuff, but 90% of the time it's not helpful. Additionally, there's a really quick, perceptible wait for the microphone to turn on when you hold the button down. I also tend to push the button (or it gets pushed as it's going into my pocket) on accident. For some reason when I type the microphone key on the keyboard to do voice dictation, it refuses to use the Google voice recognition engine. It's not really slick so it won't fall out of your hand, but when I put it screen down on my nightstand, there's some coating or something on the screen that will actually let the phone slowly slide around (because the table isn't 100% level)..",5
