Rating,Title,Date,Verified Purchase,Body,Helpful Votes
1.0,DO NOT BUY THIS!,"January 25, 2017",1,"Dont buy this item... Received today and I dont understand if I have purchased an iPhone or an Android. It brings Android software and it looks very very cheap!.Will add photos for you to all can see it. Just looking them its enough to understand its not an iPhone 7..It works very slow, the language is randomly changing between apps, it doesnt even have a good battery!.The serial number in the phone its not the same that the the one on the box..Its not fair, I will find a way to return it because I dont live at USA..ABSOLUTELY NOT RECCOMENDED, DO NOT BUY THIS ITEM.",283
5.0,Not all are completely unlocked.,"October 9, 2016",1,"Be careful, I ordered this phone and it wasn't an unlocked phone.  It is setup on the US Reseller Flex Policy.  It looked like it was purchased at Best Buy, ""sim free"".  I could not activate it with an international SIM Card.  Luckily I found someone with a US Verizon SIM card to install durning the activation process. Once it was activated with the Verizon card I was able to install my international Sim Card and everything worked...If you are looking to purchase one of these phones internationally make sure you have a US sim card to go through the activation process, or research the US Reseller Flex Policy..",438
1.0,Buyer Beware,"March 3, 2017",1,"BUYER BEWARE. I purchased this phone a few days ago, today it was delivered, the problem is that I opened the box and there was NO PHONE INSIDE. Only the charger and the headphones.",271
3.0,Finally got this supposedly unlocked phone unlocked,"May 7, 2017",1,This did not work with a UK SIM or a Bermuda SIM. Went to Apple Store in London who said to activate iphone with an iTunes restore. This did not work either - message that the SIM carrier was not supported always appeared. After reading reviews on here bought a cheap AT&amp;T; SIM which seemed to activate the phone but still did not unlock it as it was still locked for using other country SIM cards. I requested an unlock code from AT&amp;T; website 2 days ago as a last ditch attempt. They replied today and said they had approved the unlock and to go ahead and activate the phone..It now works with a non-U.S. SIM card finally so I am hoping it is unlocked for all GSM carriers worldwide..So the phone I received was actually not international unlocked but locked on to AT&amp;T; - even though it was described as factory unlocked for use worldwide.By the way when I contacted the Amazon Supplier they were extremely unhelpful...,8
5.0,"I live in Ecuador and it work perfect, it's unlocked","November 22, 2016",1,"I live in Ecuador and it work perfect, it's unlocked. I never had the iphone 6 so I can't compared which is better but this cell phone is amazing!",17
5.0,Very pleased.,"October 23, 2017",1,"Arrived timely was used which I knew. Had a minor scratch, not in an area that could be seen very minute. Put my card in for my Wireless network. Up and going no issues. Love that it has 256th so plenty of storage. Got a hand written note from retailer. Would totally buy again. I also put a screen protector on it and have in a great case. Very pleased.",2
5.0,It came as expected and it is a great phone. It came unlocked as well so that ...,"October 19, 2016",1,It came as expected and it is a great phone. It came unlocked as well so that I may use it with my family mobile service.,7
5.0,Five Stars,"November 3, 2016",1,Just received my iPhone 7 32GB great shipping time and it works perfectly,28
1.0,Beware!!! We ordered this phone and when ...,"May 16, 2017",1,Beware!!! We ordered this phone and when it came to the house there was a fake plastic phone inside! Total SCAM!,11
1.0,Fake,"March 11, 2017",1,It was a fake Apple iPhone 7,13
